specialUser;nonSpecialUser;Start time (seconds);End time (seconds);Time together (seconds)
176;115;450;570;120
176;125;450;570;120
176;154;480;570;90
176;27;450;600;150
176;74;450;600;150
176;174;450;600;150
176;38;810;870;60
176;125;810;960;150
176;115;870;960;90
176;120;870;960;90
176;144;870;960;90
176;64;1530;1680;150
176;102;1530;1680;150
176;136;1530;1680;150
176;140;1530;1680;150
176;4;1560;1680;120
176;47;1560;1680;120
176;116;1560;1680;120
176;132;1560;1680;120
176;15;1680;1740;60
176;5;1650;1770;120
176;105;1650;1770;120
176;117;1650;1770;120
176;78;1590;1800;210
176;33;1710;1830;120
176;13;1740;1830;90
176;51;1740;1830;90
176;80;1740;1830;90
176;170;1710;1860;150
176;48;1740;1860;120
176;153;1740;1860;120
176;3;1800;1890;90
176;17;1800;1890;90
176;24;1800;1890;90
176;12;1830;1890;60
176;40;1830;1890;60
176;53;1830;1890;60
176;175;1830;1890;60
176;7;1800;1920;120
176;45;1800;1920;120
176;69;1800;1920;120
176;103;1800;1920;120
176;155;1860;1920;60
176;6;1800;1980;180
176;56;1800;1980;180
176;29;1920;2040;120
176;2;1830;2100;270
176;85;1830;2100;270
176;40;1980;2100;120
176;46;1980;2100;120
176;53;1980;2100;120
176;118;1980;2100;120
176;175;1980;2100;120
176;155;2010;2100;90
176;136;2040;2100;60
176;108;2550;2700;150
176;16;2490;2760;270
176;84;2490;2760;270
176;91;2490;2760;270
176;96;2490;2760;270
176;150;2490;2760;270
176;159;2490;2760;270
176;162;2490;2760;270
176;100;3120;3210;90
176;141;3120;3210;90
176;19;3060;3240;180
176;30;3060;3240;180
176;61;3060;3240;180
176;10;3180;3240;60
176;67;3180;3300;120
176;83;3180;3300;120
176;106;3180;3300;120
176;164;3180;3300;120
176;166;3180;3300;120
176;168;3180;3300;120
176;77;3210;3300;90
176;138;3210;3300;90
176;160;3210;3300;90
176;100;3360;3420;60
176;141;3360;3420;60
176;26;3390;3570;180
176;87;3390;3570;180
176;123;3450;3570;120
