id_item;Rating;Rating predicted;Time (seconds)
1;3.0;3.0;0
2;3.0;5.0;231
3;3.0;5.0;288
17;3.0;5.0;336
18;3.0;4.0;376
29;3.0;5.0;414
30;3.0;3.0;484
31;3.0;3.0;524
63;3.0;3.0;564
64;3.0;3.0;618
65;3.0;5.0;659
66;3.0;4.0;701
78;3.0;3.0;742
79;3.0;4.0;824
86;3.0;3.0;859
87;3.0;3.0;902
106;2.0;3.0;937
107;3.0;3.0;1006
108;3.0;3.0;1048
145;3.0;4.0;1091
146;3.0;4.0;1155
147;3.0;3.0;1203
148;3.0;3.0;1251
175;3.0;4.0;1299
176;3.0;3.0;1371
201;3.0;3.0;1415
254;2.0;3.0;1462
255;2.0;3.0;1557
233;3.0;4.0;1595
256;2.0;3.0;1652
83;3.0;4.0;1699
210;3.0;3.0;1743
211;4.0;2.0;1801
221;4.0;4.0;1839
224;3.0;3.0;1893
225;3.0;4.0;1944
253;3.0;4.0;1978
73;4.0;4.0;2011
82;5.0;4.0;2066
85;3.0;3.0;2132
222;3.0;2.0;2197
223;3.0;4.0;2232
138;4.0;4.0;2308
139;4.0;4.0;2346
140;3.0;4.0;2386
141;4.0;4.0;2427
11;5.0;4.0;2491
187;4.0;4.0;2525
48;4.0;3.0;2579
261;4.0;2.0;2629
61;3.0;4.0;2677
62;5.0;3.0;2713
46;4.0;4.0;2775
272;4.0;4.0;2809
273;4.0;3.0;2843
135;4.0;3.0;2889
166;4.0;3.0;2937
51;4.0;3.0;2990
37;4.0;4.0;3036
263;2.0;2.0;3070
232;3.0;3.0;3115
188;3.0;4.0;3186
189;3.0;4.0;3228
190;3.0;4.0;3270
191;3.0;4.0;3312
192;3.0;3.0;3355
193;3.0;4.0;3396
194;3.0;4.0;3439
195;3.0;4.0;3483
196;3.0;4.0;3525
197;4.0;3.0;3568
