id_item;Number of users;Rating;Time (seconds)
1;0;3.0;177
2;0;3.0;231
3;0;3.0;288
17;0;3.0;336
18;0;3.0;376
29;0;3.0;414
30;0;3.0;484
31;0;3.0;524
63;0;3.0;564
64;0;3.0;618
65;0;3.0;659
66;0;3.0;701
78;0;3.0;742
79;0;3.0;824
86;0;3.0;859
87;0;3.0;902
106;0;2.0;937
107;0;3.0;1006
108;0;3.0;1048
145;0;3.0;1091
146;0;3.0;1155
147;0;3.0;1203
148;0;3.0;1251
175;0;3.0;1299
176;0;3.0;1371
201;0;3.0;1415
254;1;2.0;1521
255;0;2.0;1557
233;1;3.0;1618
256;1;2.0;1666
83;2;3.0;1710
210;1;3.0;1765
211;0;4.0;1801
221;1;4.0;1859
224;1;3.0;1909
225;0;3.0;1944
253;0;3.0;1978
73;1;4.0;2031
82;3;5.0;2097
85;1;3.0;2147
222;1;3.0;2197
223;0;3.0;2232
138;1;4.0;2308
139;0;4.0;2346
140;0;3.0;2386
141;0;4.0;2427
11;1;5.0;2491
187;0;4.0;2525
48;1;4.0;2579
261;1;4.0;2629
61;1;3.0;2677
62;0;5.0;2713
46;1;4.0;2775
272;0;4.0;2809
273;0;4.0;2843
135;1;4.0;2889
166;1;4.0;2937
51;1;4.0;2990
37;1;4.0;3036
263;0;2.0;3070
232;1;3.0;3115
188;1;3.0;3186
189;0;3.0;3228
190;0;3.0;3270
191;0;3.0;3312
192;0;3.0;3355
193;0;3.0;3396
194;0;3.0;3439
195;0;3.0;3483
196;0;3.0;3525
197;0;4.0;3568
