specialUser;nonSpecialUser;Start time (seconds);End time (seconds);Time together (seconds)
176;72;30;120;90
176;151;30;120;90
176;162;30;120;90
176;82;150;240;90
176;55;330;420;90
176;85;330;420;90
176;105;330;420;90
176;110;330;420;90
176;169;330;420;90
176;9;540;600;60
176;87;600;660;60
176;69;1200;1260;60
176;59;1320;1380;60
176;42;1680;1800;120
176;58;1680;1800;120
176;64;1680;1800;120
176;82;1680;1800;120
176;112;1680;1800;120
176;8;1710;1800;90
176;81;1800;1860;60
176;138;1800;1860;60
176;44;1830;1890;60
176;15;1830;1950;120
176;24;1830;1950;120
176;39;1830;1950;120
176;53;1830;1950;120
176;65;1830;1950;120
176;68;1830;1950;120
176;77;1830;1950;120
176;134;1830;1950;120
176;135;1830;1950;120
176;146;1830;1950;120
176;148;1830;1950;120
176;151;1830;1950;120
176;158;1830;1950;120
176;162;1830;1950;120
176;1;1830;1980;150
176;3;1830;1980;150
176;11;1830;1980;150
176;13;1830;1980;150
176;26;1830;1980;150
176;34;1830;1980;150
176;72;1830;1980;150
176;86;1830;1980;150
176;109;1830;1980;150
176;119;1830;1980;150
176;155;1830;1980;150
176;168;1830;1980;150
176;171;1830;1980;150
176;24;2130;2190;60
176;39;2130;2190;60
176;119;2130;2190;60
176;155;2130;2190;60
176;162;2130;2190;60
176;168;2130;2190;60
176;44;2160;2220;60
176;81;2160;2220;60
176;138;2160;2220;60
176;8;2940;3060;120
176;82;2940;3060;120
176;42;3000;3060;60
176;58;3000;3060;60
176;64;3000;3060;60
176;112;3000;3060;60
176;78;3120;3180;60
176;98;3120;3180;60
176;152;3120;3180;60
176;165;3120;3180;60
176;55;3210;3270;60
176;85;3210;3270;60
176;105;3210;3270;60
176;110;3210;3270;60
176;169;3210;3270;60
176;5;3240;3360;120
176;20;3240;3360;120
176;50;3240;3360;120
176;57;3240;3360;120
176;90;3240;3360;120
176;107;3240;3360;120
