id_item;Rating;Rating predicted;Time (seconds)
9;5.0;5.0;0
10;5.0;5.0;0
11;5.0;5.0;109
8;5.0;5.0;230
7;5.0;5.0;230
1;4.0;5.0;393
2;4.0;5.0;393
3;4.0;5.0;393
17;4.0;4.0;572
18;4.0;4.0;572
6;5.0;4.0;646
5;5.0;4.0;646
4;5.0;4.0;646
19;5.0;4.0;646
20;5.0;4.0;646
14;5.0;5.0;1017
13;5.0;5.0;1017
12;5.0;5.0;1017
15;5.0;5.0;1272
26;5.0;5.0;1402
25;5.0;5.0;1402
16;5.0;5.0;1623
24;5.0;5.0;1801
21;3.0;5.0;1852
28;5.0;3.0;1937
27;4.0;3.0;1937
22;5.0;4.0;2012
23;5.0;4.0;2012
36;4.0;5.0;2114
35;4.0;4.0;2148
37;5.0;4.0;2187
40;5.0;5.0;2262
41;4.0;5.0;2262
39;3.0;5.0;2262
38;4.0;5.0;2262
44;3.0;4.0;2664
43;3.0;4.0;2664
42;3.0;4.0;2664
48;3.0;3.0;2808
46;5.0;3.0;3015
50;5.0;5.0;3155
49;5.0;4.0;3272
45;4.0;4.0;3317
31;3.0;3.0;3391
30;3.0;3.0;3461
29;4.0;4.0;3499
