id_item;Number of users;Rating;Time (seconds)
9;0;5.0;46
10;0;5.0;77
11;1;5.0;197
8;1;5.0;326
7;0;5.0;361
1;1;4.0;428
2;0;4.0;477
3;0;4.0;528
17;1;4.0;572
18;0;4.0;610
6;1;5.0;778
5;0;5.0;857
4;0;5.0;900
19;0;5.0;940
20;0;5.0;979
14;2;5.0;1135
13;0;5.0;1189
12;0;5.0;1231
15;1;5.0;1370
26;1;5.0;1552
25;0;5.0;1586
16;1;5.0;1769
24;4;5.0;1820
21;1;3.0;1906
28;1;5.0;1948
27;0;4.0;1980
22;5;5.0;2044
23;0;5.0;2079
36;1;4.0;2117
35;1;4.0;2149
37;1;5.0;2229
40;1;5.0;2451
41;0;4.0;2527
39;0;3.0;2564
38;0;4.0;2616
44;1;3.0;2664
43;0;3.0;2712
42;0;3.0;2760
48;1;3.0;2985
46;1;5.0;3047
50;1;5.0;3155
49;1;5.0;3272
45;1;4.0;3317
31;5;3.0;3391
30;0;3.0;3461
29;0;4.0;3499
