specialUser;nonSpecialUser;Start time (seconds);End time (seconds);Time together (seconds)
176;137;0;60;60
176;88;30;150;120
176;120;0;180;180
176;164;120;180;60
176;79;0;210;210
176;38;0;270;270
176;53;0;270;270
176;147;0;270;270
176;11;270;330;60
176;32;0;360;360
176;92;0;360;360
176;79;300;360;60
176;144;210;450;240
176;12;210;480;270
176;32;420;510;90
176;79;420;510;90
176;92;420;510;90
176;62;450;510;60
176;84;450;510;60
176;134;450;510;60
176;148;480;570;90
176;148;690;750;60
176;4;2760;2850;90
176;11;2760;2850;90
176;21;2760;2850;90
176;33;2760;2850;90
176;36;2760;2850;90
176;50;2760;2850;90
176;72;2760;2850;90
176;73;2760;2850;90
176;75;2760;2850;90
176;84;2760;2850;90
176;87;2760;2850;90
176;95;2760;2850;90
176;108;2760;2850;90
176;116;2760;2850;90
176;125;2760;2850;90
176;138;2760;2850;90
176;140;2760;2850;90
176;165;2760;2850;90
176;172;2760;2850;90
