id_item;Number of users;Rating;Time (seconds)
74;0;5.0;0
83;1;5.0;38
256;1;4.0;77
59;8;5.0;117
60;1;5.0;151
233;1;4.0;321
7;1;5.0;363
8;1;5.0;395
255;1;4.0;441
254;1;4.0;474
49;1;5.0;523
38;2;4.0;573
39;2;4.0;611
43;0;4.0;656
44;0;4.0;701
40;3;4.0;746
117;2;4.0;933
116;0;4.0;976
115;0;4.0;1017
159;0;4.0;1059
158;0;4.0;1105
157;0;4.0;1149
156;0;4.0;1194
181;1;4.0;1232
114;0;4.0;1268
202;0;4.0;1311
160;0;4.0;1354
34;1;5.0;1428
33;0;5.0;1467
32;0;5.0;1506
6;0;5.0;1545
5;1;5.0;1588
4;0;5.0;1629
19;0;5.0;1667
20;0;5.0;1704
182;1;4.0;1812
180;0;4.0;1888
179;0;3.0;1926
29;1;4.0;2104
30;0;5.0;2178
31;0;3.0;2215
108;0;4.0;2252
176;0;4.0;2289
107;0;3.0;2324
18;0;3.0;2360
145;0;3.0;2411
17;0;4.0;2451
3;0;5.0;2497
2;0;4.0;2534
1;0;4.0;2576
41;1;4.0;2661
42;0;5.0;2729
57;1;5.0;2888
53;0;5.0;2925
54;0;5.0;2966
55;0;3.0;3007
56;0;4.0;3049
149;5;4.0;3112
150;0;4.0;3174
151;0;4.0;3210
152;0;4.0;3246
178;0;4.0;3282
177;0;4.0;3321
110;0;4.0;3357
111;0;4.0;3393
70;0;3.0;3429
69;0;5.0;3465
68;0;3.0;3499
67;0;3.0;3533
109;0;3.0;3567
