id_item;Number of users;Rating;Time (seconds)
133;0;2.0;0
240;1;1.0;30
139;0;3.0;69
138;0;3.0;101
195;0;2.0;141
197;0;2.0;174
148;0;5.0;205
137;0;3.0;237
135;0;3.0;271
166;0;3.0;311
173;0;3.0;345
134;0;3.0;376
78;1;4.0;422
58;2;4.0;464
156;1;3.0;498
154;0;4.0;534
59;0;5.0;566
49;0;3.0;602
45;1;5.0;651
157;5;4.0;682
47;0;3.0;718
158;0;4.0;752
4;1;2.0;792
163;2;3.0;823
225;0;4.0;858
18;1;3.0;909
167;1;4.0;941
214;0;3.0;978
177;0;3.0;1010
221;0;5.0;1047
155;0;4.0;1080
15;0;5.0;1116
14;0;5.0;1152
176;0;5.0;1193
21;0;3.0;1236
20;0;4.0;1268
19;0;4.0;1309
179;0;2.0;1350
179;0;2.0;1402
29;1;4.0;1460
161;1;3.0;1493
24;0;3.0;1526
35;1;4.0;1578
159;1;3.0;1611
194;0;3.0;1646
150;0;3.0;1677
181;0;2.0;1709
34;0;4.0;1742
187;0;3.0;1777
187;0;3.0;1819
31;0;3.0;1861
31;0;3.0;1900
152;0;5.0;1939
32;0;5.0;1979
26;1;5.0;2048
36;4;3.0;2097
153;3;5.0;2131
146;0;4.0;2171
180;0;3.0;2203
42;0;5.0;2242
210;0;2.0;2276
41;0;4.0;2310
40;0;5.0;2349
38;0;3.0;2389
48;0;4.0;2429
28;4;5.0;2496
17;3;4.0;2545
16;0;4.0;2579
2;2;5.0;2644
1;0;4.0;2676
191;0;4.0;2717
22;4;3.0;2821
213;2;3.0;2927
132;1;5.0;2962
232;2;4.0;3059
189;3;3.0;3164
130;1;3.0;3212
149;0;5.0;3245
119;0;5.0;3277
120;0;5.0;3319
188;0;4.0;3359
206;0;5.0;3390
219;0;2.0;3423
123;0;4.0;3457
198;0;2.0;3494
125;0;5.0;3534
73;1;4.0;3569
