specialUser;nonSpecialUser;Start time (seconds);End time (seconds);Time together (seconds)
176;19;60;120;60
176;138;150;210;60
176;160;150;210;60
176;67;240;330;90
176;168;240;330;90
176;19;270;330;60
176;77;270;330;60
176;83;270;330;60
176;104;540;600;60
176;21;840;900;60
176;23;840;900;60
176;25;840;900;60
176;30;840;900;60
176;31;840;900;60
176;39;840;900;60
176;44;840;900;60
176;61;840;900;60
176;66;840;900;60
176;88;840;900;60
176;106;840;900;60
176;111;840;900;60
176;113;840;900;60
176;124;840;900;60
176;138;840;900;60
176;160;840;900;60
176;166;840;900;60
176;65;1080;1140;60
176;134;1080;1140;60
176;4;1260;1350;90
176;20;1260;1350;90
176;47;1260;1350;90
176;57;1260;1350;90
176;79;1260;1350;90
176;116;1260;1350;90
176;119;1260;1350;90
176;122;1260;1350;90
176;132;1260;1350;90
176;136;1260;1350;90
176;154;1290;1350;60
176;5;1740;1830;90
176;13;1740;1830;90
176;51;1740;1830;90
176;80;1740;1830;90
176;117;1740;1830;90
176;4;1770;1830;60
176;47;1770;1830;60
176;116;1770;1830;60
176;132;1770;1830;60
176;136;1770;1830;60
176;147;1950;2010;60
176;154;2040;2100;60
176;3;2070;2160;90
176;6;2070;2160;90
176;17;2070;2160;90
176;24;2070;2160;90
176;48;2070;2160;90
176;56;2070;2160;90
176;170;2070;2160;90
176;4;2910;2970;60
176;12;2910;2970;60
176;29;2910;2970;60
176;40;2910;2970;60
176;46;2910;2970;60
176;47;2910;2970;60
176;49;2910;2970;60
176;53;2910;2970;60
176;68;2910;2970;60
176;76;2910;2970;60
176;93;2910;2970;60
176;99;2910;2970;60
176;116;2910;2970;60
176;118;2910;2970;60
176;132;2910;2970;60
176;136;2910;2970;60
176;145;2910;2970;60
176;155;2910;2970;60
176;157;2910;2970;60
176;165;2910;2970;60
176;172;2910;2970;60
176;175;2910;2970;60
