id_item;Number of users;Rating;Time (seconds)
188;0;3.0;84
189;1;3.0;123
190;0;3.0;163
191;0;3.0;203
192;0;3.0;243
193;0;3.0;282
194;0;3.0;322
195;0;3.0;363
196;0;3.0;403
197;0;4.0;443
207;1;3.0;508
208;1;3.0;545
209;1;3.0;589
22;1;4.0;649
23;0;4.0;684
36;1;4.0;722
35;1;4.0;754
204;2;3.0;799
26;5;4.0;928
25;0;4.0;962
198;1;4.0;1006
199;0;4.0;1047
250;1;3.0;1133
219;1;3.0;1417
216;0;3.0;1453
217;1;3.0;1495
218;1;3.0;1539
104;1;4.0;1604
142;0;4.0;1643
103;0;4.0;1680
143;0;4.0;1720
21;1;5.0;1866
200;1;4.0;1903
27;1;4.0;1938
28;0;5.0;1968
9;1;5.0;2017
186;0;4.0;2048
10;0;5.0;2079
232;5;3.0;2138
144;1;3.0;2178
105;0;4.0;2211
263;1;4.0;2254
37;0;3.0;2285
51;1;4.0;2326
251;1;2.0;2365
259;0;4.0;2397
258;1;3.0;2438
58;1;4.0;2480
203;1;3.0;2582
91;1;4.0;2617
153;1;4.0;2649
90;0;3.0;2685
102;1;3.0;2737
137;0;4.0;2770
264;1;3.0;2817
206;1;4.0;2862
205;0;4.0;2895
75;1;4.0;2942
15;1;5.0;2985
47;1;3.0;3029
212;1;3.0;3146
213;0;3.0;3180
214;0;3.0;3215
215;0;3.0;3249
11;1;4.0;3312
187;0;4.0;3345
141;1;4.0;3391
140;0;4.0;3426
139;0;3.0;3466
138;0;4.0;3505
