specialUser;nonSpecialUser;Start time (seconds);End time (seconds);Time together (seconds)
176;27;210;300;90
176;146;210;300;90
176;59;300;390;90
176;162;330;390;60
176;139;330;420;90
176;140;330;420;90
176;144;330;420;90
176;153;330;420;90
176;173;330;420;90
176;12;330;450;120
176;20;330;450;120
176;56;330;450;120
176;73;330;450;120
176;93;330;450;120
176;113;330;450;120
176;131;330;450;120
176;12;660;720;60
176;20;660;720;60
176;56;660;720;60
176;59;660;720;60
176;73;660;720;60
176;131;660;720;60
176;139;660;720;60
176;140;660;720;60
176;144;660;720;60
176;153;660;720;60
176;162;660;720;60
176;173;660;720;60
176;136;840;900;60
176;172;840;900;60
176;67;1470;1530;60
176;10;1920;1980;60
176;74;1920;1980;60
176;156;1920;1980;60
176;67;1950;2010;60
176;81;1950;2010;60
176;67;2100;2190;90
176;81;2100;2190;90
176;27;2130;2220;90
176;146;2130;2220;90
176;84;2130;2370;240
176;68;2190;2400;210
176;43;2220;2400;180
176;48;2640;2700;60
176;86;2640;2700;60
176;5;2820;2880;60
176;7;2820;2880;60
176;13;2820;2880;60
176;15;2820;2880;60
176;18;2820;2880;60
176;34;2820;2880;60
176;45;2820;2880;60
176;50;2820;2880;60
176;52;2820;2880;60
176;64;2820;2880;60
176;65;2820;2880;60
176;71;2820;2880;60
176;83;2820;2880;60
176;94;2820;2880;60
176;97;2820;2880;60
176;105;2820;2880;60
176;107;2820;2880;60
176;121;2820;2880;60
176;124;2820;2880;60
176;128;2820;2880;60
176;137;2820;2880;60
176;148;2820;2880;60
176;150;2820;2880;60
176;129;2820;2910;90
176;135;2820;2910;90
176;91;2730;2940;210
176;103;2730;2940;210
176;111;2820;2940;120
176;35;2640;2970;330
176;80;2640;2970;330
176;138;2640;2970;330
176;48;2940;3210;270
176;86;2940;3210;270
176;58;3150;3330;180
176;98;3150;3330;180
176;109;3150;3330;180
176;114;3150;3330;180
176;12;3300;3360;60
176;20;3300;3360;60
176;131;3300;3360;60
