id_item;Rating;Rating predicted;Time (seconds)
239;4;3,00;325
223;4;2,67;472
124;4;4,50;505
123;4;4,50;505
125;4;4,50;505
126;4;4,02;505
93;4;4,02;505
94;4;3,44;708
85;4;3,23;742
122;4;4,47;804
171;4;4,47;804
170;4;4,47;804
169;4;4,47;804
168;4;4,47;804
119;4;3,43;804
185;4;4,00;804
183;4;4,00;804
184;4;4,00;804
99;4;2,97;1650
98;3;2,90;1650
97;4;2,97;1650
133;4;2,86;1650
172;4;2,86;1650
173;4;2,84;1979
128;4;3,75;2016
96;3;3,51;2119
95;4;3,00;2156
130;3;3,04;2214
131;4;2,92;2249
132;3;2,70;2289
118;4;4,00;2538
256;4;3,00;3207
210;3;3,50;3290
72;3;3,50;3334
71;3;3,50;3368
