Id;ObjectID;Title;ConstituentID;Artist;Date;Classification;Department;style;genre;floor;room
1;2613;Tapestry;96;Anni Albers;1948;Design;Architecture & Design;Abstract Art;abstract;4th floor;407
2;33212;Untitled;4716;Richard Pousette-Dart;1946;Drawing;Drawings & Prints;Abstract Art;abstract;4th floor;407
3;33292;Untitled;4716;Richard Pousette-Dart;1948;Drawing;Drawings & Prints;Abstract Art;abstract;4th floor;407
4;35078;Untitled;3805;Aldemir Martins;1961;Drawing;Drawings & Prints;Abstract Art;abstract;4th floor;407
5;37020;Collage;4856;Ad Reinhardt;1940;Drawing;Drawings & Prints;Abstract Art;abstract;4th floor;407
6;61001;The Big I;922;Alexander Calder;1944;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
7;70720;Red Meander;96;Anni Albers;1969;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
8;75353;Untitled;3888;John McLaughlin;1962;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
9;75773;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
10;75800;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
11;75803;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
12;75806;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
13;75812;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
14;75815;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
15;75827;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
16;75830;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
17;75834;Untitled;3888;John McLaughlin;1963;Print;Drawings & Prints;Abstract Art;abstract;4th floor;407
18;409639;Untitled;37083;Vera Molnar;1952;Drawing;Drawings & Prints;Abstract Art;abstract;4th floor;407
19;33262;Untitled;3240;Lee Krasner;1964;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
20;33371;Untitled;1965;Sam Francis;1958;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;411
21;34224;Untitled;670;Lee Bontecou;1960;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
22;34238;Untitled;670;Lee Bontecou;1961;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
23;34581;Seated Nude;3240;Lee Krasner;1940;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
24;34714;The Blessing;4285;Barnett Newman;1944;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;408
25;35761;Untitled;670;Lee Bontecou;1970;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
26;37156;Untitled;2419;Philip Guston;1951;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
27;37298;Untitled;4285;Barnett Newman;1946;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;408
28;37422;Untitled;670;Lee Bontecou;1967;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
29;37640;Untitled;2395;José Guerrero;1960;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;409
30;38100;Untitled;4285;Barnett Newman;1945;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;408
31;38354;Untitled;5683;Myron Stout;1950;Drawing;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
32;47309;Untitled;22630;Marvin E. Newman;1951;Photograph;Photography;Abstract Expressionism;abstract;4th floor;410
33;54834;Untitled;1600;Edward Douglas;1970;Photograph;Photography;Abstract Expressionism;abstract;4th floor;408
34;55207;Untitled;6222;Todd Walker;1970;Photograph;Photography;Abstract Expressionism;abstract;4th floor;411
35;57675;Untitled (Man Tapping Vein);1133;Larry Clark;1970;Photograph;Photography;Abstract Expressionism;abstract;4th floor;409
36;61793;Circle Image;5202;Louis Schanker;1952;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
37;63439;Composition;5997;Raoul Ubac;1949;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
38;63597;The White Line;1965;Sam Francis;1960;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;411
39;63630;Untitled;5988;Cy Twombly;1952;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;408
40;63660;Damn Braces;1965;Sam Francis;1960;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;411
41;64248;Untitled;5889;Mark Tobey;1967;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
42;64956;Untitled;2242;Robert Goodnough;1968;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;411
43;65117;Composition;5997;Raoul Ubac;1949;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
44;66398;Untitled;6147;Esteban Vicente;1965;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;408
45;66519;Composition;5997;Raoul Ubac;1950;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;410
46;66656;Untitled;1539;Richard Diebenkorn;1970;Print;Drawings & Prints;Abstract Expressionism;abstract;4th floor;411
